"","action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","opponent","shot_id"
"13843","Jump Shot","Jump Shot",33.9863,20,58,-118.2498,9,1,0,"2008-09",47,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","IND",13843
"13844","Jump Shot","Jump Shot",33.9883,237,56,-118.0328,9,1,0,"2008-09",41,24,"1","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","IND",13844
"13845","Jump Shot","Jump Shot",33.8853,111,159,-118.1588,5,1,0,"2008-09",20,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","IND",13845
"13846","Jump Shot","Jump Shot",33.9943,-202,50,-118.4718,1,1,0,"2008-09",27,20,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","IND",13846
"13847","Jump Shot","Jump Shot",33.8163,162,228,-118.1078,6,2,0,"2008-09",46,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","IND",13847
"13848","Jump Shot","Jump Shot",33.9753,113,69,-118.1568,3,2,0,"2008-09",8,13,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","IND",13848
"13849","Jump Shot","Jump Shot",33.9693,6,75,-118.2638,5,3,0,"2008-09",23,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","IND",13849
"13850","Running Jump Shot","Jump Shot",33.9863,31,58,-118.2388,3,3,0,"2008-09",41,6,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","IND",13850
"13851","Jump Shot","Jump Shot",33.8493,89,195,-118.1808,3,3,0,"2008-09",19,21,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","IND",13851
"13852","Fadeaway Jump Shot","Jump Shot",34.0273,119,17,-118.1508,2,3,0,"2008-09",49,12,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","IND",13852
"13853","Jump Shot","Jump Shot",34.0463,-229,-2,-118.4988,2,3,0,"2008-09",44,22,"0","3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.","IND",13853
"13854","Running Bank shot","Bank Shot",33.9993,-34,45,-118.3038,2,3,0,"2008-09",21,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","IND",13854
"13855","Jump Shot","Jump Shot",33.8993,-127,145,-118.3968,1,3,0,"2008-09",25,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","IND",13855
"13856","Jump Shot","Jump Shot",34.0103,-87,34,-118.3568,5,4,0,"2008-09",22,9,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","IND",13856
"13857","Jump Shot","Jump Shot",33.8653,-187,179,-118.4568,4,4,0,"2008-09",52,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","IND",13857
"13858","Jump Shot","Jump Shot",33.8683,1,176,-118.2688,3,4,0,"2008-09",36,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","IND",13858
"13859","Jump Shot","Jump Shot",34.0463,157,-2,-118.1128,2,4,0,"2008-09",59,15,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","IND",13859
"13860","Jump Shot","Jump Shot",33.9093,77,135,-118.1928,2,4,0,"2008-09",33,15,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","IND",13860
"13861","Step Back Jump shot","Jump Shot",33.8683,84,176,-118.1858,1,4,0,"2008-09",10,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","IND",13861
"13862","Turnaround Fadeaway shot","Jump Shot",33.8693,23,175,-118.2468,0,4,0,"2008-09",3,17,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","IND",13862
"13863","Jump Shot","Jump Shot",33.7983,-136,246,-118.4058,6,1,0,"2008-09",43,28,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","MIA",13863
"13864","Jump Shot","Jump Shot",34.0303,237,14,-118.0328,2,2,0,"2008-09",53,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","MIA",13864
"13865","Jump Shot","Jump Shot",33.8093,124,235,-118.1458,0,2,0,"2008-09",32,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","MIA",13865
"13866","Jump Shot","Jump Shot",33.9393,-116,105,-118.3858,11,3,0,"2008-09",22,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","MIA",13866
"13867","Layup Shot","Layup",34.0443,0,0,-118.2698,9,3,0,"2008-09",51,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MIA",13867
"13869","Layup Shot","Layup",34.0443,0,0,-118.2698,4,3,0,"2008-09",26,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MIA",13869
"13870","Jump Shot","Jump Shot",33.8843,-198,160,-118.4678,3,3,0,"2008-09",54,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","MIA",13870
"13872","Jump Shot","Jump Shot",33.8353,78,209,-118.1918,0,3,0,"2008-09",32,22,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","MIA",13872
"13873","Driving Finger Roll Layup Shot","Layup",34.0443,0,0,-118.2698,0,3,0,"2008-09",1,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MIA",13873
"13874","Jump Shot","Jump Shot",34.0303,-166,14,-118.4358,7,4,0,"2008-09",4,16,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","MIA",13874
"13875","Jump Shot","Jump Shot",33.8793,37,165,-118.2328,6,4,0,"2008-09",39,16,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","MIA",13875
"13876","Layup Shot","Layup",34.0443,0,0,-118.2698,0,4,0,"2008-09",18,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MIA",13876
"13877","Turnaround Jump Shot","Jump Shot",33.9703,42,74,-118.2278,10,1,0,"2008-09",50,8,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","HOU",13877
"13878","Jump Shot","Jump Shot",33.9923,15,52,-118.2548,7,1,0,"2008-09",29,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","HOU",13878
"13879","Step Back Jump shot","Jump Shot",34.0033,50,41,-118.2198,7,1,0,"2008-09",27,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","HOU",13879
"13881","Jump Shot","Jump Shot",33.9203,-62,124,-118.3318,0,1,0,"2008-09",50,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","HOU",13881
"13882","Jump Shot","Jump Shot",33.8463,154,198,-118.1158,0,1,0,"2008-09",30,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","HOU",13882
"13883","Jump Shot","Jump Shot",33.8303,-43,214,-118.3128,0,1,0,"2008-09",0,21,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","HOU",13883
"13884","Jump Bank Shot","Jump Shot",33.9293,-138,115,-118.4078,11,2,0,"2008-09",40,17,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","HOU",13884
"13885","Jump Shot","Jump Shot",33.9943,53,50,-118.2168,10,2,0,"2008-09",10,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","HOU",13885
"13886","Layup Shot","Layup",34.0443,0,0,-118.2698,8,2,0,"2008-09",52,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","HOU",13886
"13887","Jump Shot","Jump Shot",33.8993,165,145,-118.1048,4,2,0,"2008-09",58,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","HOU",13887
"13889","Turnaround Jump Shot","Jump Shot",33.9813,-90,63,-118.3598,3,2,0,"2008-09",7,10,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","HOU",13889
"13892","Jump Shot","Jump Shot",33.9623,67,82,-118.2028,0,2,0,"2008-09",39,10,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","HOU",13892
"13893","Layup Shot","Layup",34.0443,0,0,-118.2698,0,2,0,"2008-09",1,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","HOU",13893
"13894","Layup Shot","Layup",34.0443,0,0,-118.2698,10,3,0,"2008-09",29,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","HOU",13894
"13896","Jump Bank Shot","Jump Shot",33.9813,-65,63,-118.3348,5,3,0,"2008-09",22,9,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","HOU",13896
"13897","Jump Shot","Jump Shot",33.9403,61,104,-118.2088,4,3,0,"2008-09",59,12,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","HOU",13897
"13898","Jump Shot","Jump Shot",33.9993,-15,45,-118.2848,4,3,0,"2008-09",27,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","HOU",13898
"13899","Layup Shot","Layup",34.0443,0,0,-118.2698,4,3,0,"2008-09",3,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","HOU",13899
"13900","Pullup Jump shot","Jump Shot",33.8723,-27,172,-118.2968,11,4,0,"2008-09",24,17,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","HOU",13900
"13901","Fadeaway Jump Shot","Jump Shot",34.0163,106,28,-118.1638,10,4,0,"2008-09",47,10,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","HOU",13901
"13902","Turnaround Jump Shot","Jump Shot",33.9703,-60,74,-118.3298,7,4,0,"2008-09",12,9,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","HOU",13902
"13903","Jump Shot","Jump Shot",33.9103,-109,134,-118.3788,5,4,0,"2008-09",47,17,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","HOU",13903
"13904","Turnaround Jump Shot","Jump Shot",33.9723,-62,72,-118.3318,5,4,0,"2008-09",0,9,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","HOU",13904
"13905","Jump Shot","Jump Shot",33.9833,-161,61,-118.4308,4,4,0,"2008-09",1,17,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","HOU",13905
"13906","Jump Shot","Jump Shot",33.9183,-117,126,-118.3868,3,4,0,"2008-09",22,17,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","HOU",13906
"13908","Jump Shot","Jump Shot",33.8243,-163,220,-118.4328,0,4,0,"2008-09",27,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","HOU",13908
"13909","Jump Shot","Jump Shot",33.9843,143,60,-118.1268,10,1,0,"2008-09",59,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","SAS",13909
"13911","Jump Shot","Jump Shot",33.8473,58,197,-118.2118,11,2,0,"2008-09",8,20,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","SAS",13911
"13914","Jump Shot","Jump Shot",33.8963,129,148,-118.1408,4,2,0,"2008-09",4,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","SAS",13914
"13915","Running Jump Shot","Jump Shot",33.9943,80,50,-118.1898,3,2,0,"2008-09",47,9,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","SAS",13915
"13916","Jump Shot","Jump Shot",33.9593,69,85,-118.2008,3,2,0,"2008-09",25,10,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","SAS",13916
"13917","Running Hook Shot","Hook Shot",34.0213,51,23,-118.2188,1,2,0,"2008-09",45,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","SAS",13917
"13918","Jump Shot","Jump Shot",33.8793,-111,165,-118.3808,0,2,0,"2008-09",41,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","SAS",13918
"13919","Layup Shot","Layup",34.0333,26,11,-118.2438,10,3,0,"2008-09",28,2,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAS",13919
"13920","Layup Shot","Layup",34.0433,-19,1,-118.2888,10,3,0,"2008-09",16,1,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAS",13920
"13921","Jump Shot","Jump Shot",34.0333,77,11,-118.1928,7,3,0,"2008-09",8,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","SAS",13921
"13922","Jump Shot","Jump Shot",33.8353,119,209,-118.1508,3,3,0,"2008-09",22,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","SAS",13922
"13924","Jump Shot","Jump Shot",34.0403,223,4,-118.0468,5,4,0,"2008-09",58,22,"1","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","SAS",13924
"13925","Layup Shot","Layup",34.0183,20,26,-118.2498,3,4,0,"2008-09",47,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAS",13925
"13926","Driving Bank shot","Bank Shot",34.0183,-75,26,-118.3448,1,4,0,"2008-09",31,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","SAS",13926
"13927","Jump Shot","Jump Shot",33.9363,-218,108,-118.4878,0,4,0,"2008-09",12,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","SAS",13927
"13928","Turnaround Jump Shot","Jump Shot",33.9103,10,134,-118.2598,7,1,0,"2008-09",45,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","ORL",13928
"13930","Step Back Jump shot","Jump Shot",33.8553,92,189,-118.1778,6,1,0,"2008-09",11,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","ORL",13930
"13931","Jump Shot","Jump Shot",33.8963,-97,148,-118.3668,7,2,0,"2008-09",18,17,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","ORL",13931
"13932","Layup Shot","Layup",34.0443,0,0,-118.2698,4,2,0,"2008-09",47,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ORL",13932
"13933","Jump Shot","Jump Shot",33.9363,-23,108,-118.2928,3,2,0,"2008-09",8,11,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","ORL",13933
"13934","Jump Shot","Jump Shot",33.8983,124,146,-118.1458,2,2,0,"2008-09",20,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","ORL",13934
"13935","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,9,3,0,"2008-09",6,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ORL",13935
"13937","Jump Shot","Jump Shot",33.9613,-142,83,-118.4118,5,3,0,"2008-09",16,16,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","ORL",13937
"13938","Jump Shot","Jump Shot",33.9363,-56,108,-118.3258,3,3,0,"2008-09",41,12,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","ORL",13938
"13939","Jump Shot","Jump Shot",33.8383,-152,206,-118.4218,3,3,0,"2008-09",33,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ORL",13939
"13940","Jump Shot","Jump Shot",33.9733,53,71,-118.2168,1,3,0,"2008-09",52,8,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","ORL",13940
"13941","Layup Shot","Layup",34.0443,0,0,-118.2698,0,3,0,"2008-09",2,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ORL",13941
"13942","Jump Shot","Jump Shot",33.8933,84,151,-118.1858,7,4,0,"2008-09",51,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","ORL",13942
"13943","Jump Shot","Jump Shot",33.9593,138,85,-118.1318,6,4,0,"2008-09",0,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","ORL",13943
"13944","Jump Shot","Jump Shot",33.8113,-146,233,-118.4158,5,4,0,"2008-09",10,27,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ORL",13944
"13945","Jump Shot","Jump Shot",33.8793,132,165,-118.1378,4,4,0,"2008-09",42,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","ORL",13945
"13947","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,1,4,0,"2008-09",39,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ORL",13947
"13948","Jump Shot","Jump Shot",33.9103,67,134,-118.2028,1,4,0,"2008-09",16,14,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","ORL",13948
"13949","Jump Shot","Jump Shot",33.8083,-141,236,-118.4108,1,4,0,"2008-09",7,27,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ORL",13949
"13952","Jump Shot","Jump Shot",33.7983,86,246,-118.1838,0,4,0,"2008-09",8,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ORL",13952
"13953","Jump Shot","Jump Shot",34.0333,239,11,-118.0308,0,4,0,"2008-09",4,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","ORL",13953
"13955","Turnaround Jump Shot","Jump Shot",33.9613,-76,83,-118.3458,2,1,0,"2008-09",38,11,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","CLE",13955
"13956","Jump Shot","Jump Shot",33.9253,-168,119,-118.4378,4,2,0,"2008-09",10,20,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","CLE",13956
"13957","Jump Shot","Jump Shot",34.0003,181,44,-118.0888,2,2,0,"2008-09",6,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","CLE",13957
"13959","Jump Shot","Jump Shot",33.9023,97,142,-118.1728,11,3,0,"2008-09",27,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","CLE",13959
"13960","Jump Shot","Jump Shot",34.0133,228,31,-118.0418,11,3,0,"2008-09",19,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","CLE",13960
"13961","Hook Shot","Hook Shot",33.9753,-4,69,-118.2738,8,3,0,"2008-09",44,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","CLE",13961
"13962","Driving Finger Roll Layup Shot","Layup",34.0443,0,0,-118.2698,8,3,0,"2008-09",22,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","CLE",13962
"13963","Fadeaway Jump Shot","Jump Shot",34.0273,106,17,-118.1638,6,3,0,"2008-09",44,10,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","CLE",13963
"13964","Jump Shot","Jump Shot",34.0223,231,22,-118.0388,6,3,0,"2008-09",11,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","CLE",13964
"13965","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2008-09",13,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","CLE",13965
"13966","Jump Shot","Jump Shot",33.8683,-180,176,-118.4498,0,3,0,"2008-09",48,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","CLE",13966
"13967","Jump Shot","Jump Shot",34.0323,-223,12,-118.4928,11,4,0,"2008-09",3,22,"1","3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.","CLE",13967
"13968","Layup Shot","Layup",34.0443,0,0,-118.2698,10,4,0,"2008-09",27,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","CLE",13968
"13970","Floating Jump shot","Jump Shot",34.0443,-127,0,-118.3968,9,4,0,"2008-09",19,12,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","CLE",13970
"13971","Layup Shot","Layup",34.0443,0,0,-118.2698,7,4,0,"2008-09",49,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","CLE",13971
"13972","Jump Shot","Jump Shot",33.7983,65,246,-118.2048,7,4,0,"2008-09",0,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","CLE",13972
"13973","Driving Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,6,4,0,"2008-09",34,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","CLE",13973
"13974","Jump Shot","Jump Shot",33.8663,-103,178,-118.3728,5,4,0,"2008-09",40,20,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","CLE",13974
"13975","Jump Shot","Jump Shot",33.8633,78,181,-118.1918,4,4,0,"2008-09",15,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","CLE",13975
"13976","Jump Shot","Jump Shot",33.8383,-136,206,-118.4058,9,1,0,"2008-09",39,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","LAC",13976
"13977","Jump Shot","Jump Shot",33.7813,111,263,-118.1588,5,2,0,"2008-09",31,28,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","LAC",13977
"13978","Jump Shot","Jump Shot",33.8303,-161,214,-118.4308,4,2,0,"2008-09",57,26,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","LAC",13978
"13979","Jump Shot","Jump Shot",33.8573,-182,187,-118.4518,2,2,0,"2008-09",35,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","LAC",13979
"13982","Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2008-09",44,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",13982
"13983","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2008-09",22,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",13983
"13984","Jump Shot","Jump Shot",33.8193,147,225,-118.1228,1,3,0,"2008-09",50,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","LAC",13984
"13985","Jump Shot","Jump Shot",34.0243,-60,20,-118.3298,9,4,0,"2008-09",36,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","LAC",13985
"13988","Turnaround Jump Shot","Jump Shot",33.9993,-105,45,-118.3748,2,4,0,"2008-09",11,11,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","LAC",13988
"13990","Layup Shot","Layup",34.0443,0,0,-118.2698,0,4,0,"2008-09",33,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",13990
"13991","Layup Shot","Layup",34.0443,0,0,-118.2698,11,1,0,"2008-09",39,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","WAS",13991
"13993","Driving Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,6,1,0,"2008-09",47,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","WAS",13993
"13995","Jump Shot","Jump Shot",33.8393,-142,205,-118.4118,3,1,0,"2008-09",36,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","WAS",13995
"13996","Jump Shot","Jump Shot",33.8653,106,179,-118.1638,1,1,0,"2008-09",2,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","WAS",13996
"13997","Jump Shot","Jump Shot",33.7923,100,252,-118.1698,0,2,0,"2008-09",57,27,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","WAS",13997
"13998","Jump Shot","Jump Shot",33.8543,4,190,-118.2658,9,3,0,"2008-09",55,19,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","WAS",13998
"13999","Jump Shot","Jump Shot",33.8473,165,197,-118.1048,4,3,0,"2008-09",57,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","WAS",13999
"14000","Jump Shot","Jump Shot",33.8823,-149,162,-118.4188,4,3,0,"2008-09",25,22,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","WAS",14000
"14003","Jump Shot","Jump Shot",34.0293,-180,15,-118.4498,8,1,0,"2008-09",49,18,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","SAS",14003
"14005","Jump Shot","Jump Shot",33.8603,200,184,-118.0698,3,1,0,"2008-09",17,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","SAS",14005
"14007","Jump Shot","Jump Shot",33.9613,20,83,-118.2498,0,1,0,"2008-09",27,8,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","SAS",14007
"14008","Jump Shot","Jump Shot",33.8543,103,190,-118.1668,7,2,0,"2008-09",35,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","SAS",14008
"14009","Running Jump Shot","Jump Shot",33.9993,0,45,-118.2698,3,2,0,"2008-09",54,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","SAS",14009
"14010","Jump Shot","Jump Shot",33.8273,-169,217,-118.4388,2,2,0,"2008-09",19,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","SAS",14010
"14011","Jump Shot","Jump Shot",33.9693,160,75,-118.1098,1,2,0,"2008-09",16,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","SAS",14011
"14013","Jump Shot","Jump Shot",33.9253,-150,119,-118.4198,0,2,0,"2008-09",5,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","SAS",14013
"14014","Jump Shot","Jump Shot",33.8113,-103,233,-118.3728,11,3,0,"2008-09",5,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","SAS",14014
"14015","Jump Shot","Jump Shot",33.9063,99,138,-118.1708,9,3,0,"2008-09",7,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","SAS",14015
"14016","Jump Bank Shot","Jump Shot",33.9813,47,63,-118.2228,6,3,0,"2008-09",34,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","SAS",14016
"14017","Jump Shot","Jump Shot",33.8723,56,172,-118.2138,5,3,0,"2008-09",23,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","SAS",14017
"14018","Jump Shot","Jump Shot",33.8953,-136,149,-118.4058,3,3,0,"2008-09",49,20,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","SAS",14018
"14019","Jump Shot","Jump Shot",33.9343,125,110,-118.1448,9,1,0,"2008-09",29,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","CHA",14019
"14020","Jump Shot","Jump Shot",33.8503,-30,194,-118.2998,8,1,0,"2008-09",12,19,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","CHA",14020
"14022","Jump Shot","Jump Shot",33.8723,51,172,-118.2188,0,1,0,"2008-09",2,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","CHA",14022
